epoch,step,key,mean_reward,response_length
0,102,math_dapo|1b4c37d2-250f-414a-8b9c-20293c5ca73e,-1.0,351.875
0,102,math_dapo|1cd065d0-6851-4238-bb4e-3f837f739edf,-1.0,743.625
0,102,math_dapo|1cf9206d-9df6-45ba-aa08-3026350d8337,-1.0,487.125
0,102,math_dapo|1d35d78e-447d-4a1a-ad40-2ba922da4037,-1.0,829.5
0,102,math_dapo|1e074367-0b3d-47e7-9b9f-9f45103ffa1a,-1.0,1277.125
0,102,math_dapo|206afd86-5d98-40a9-b99d-688cb7979e2b,-1.0,666.1875
0,102,math_dapo|20e65dcc-f760-4620-9f0a-b18682afbdce,-1.0,1679.8125
0,102,math_dapo|21b7f648-0d7e-4f40-910c-891c5e972532,-1.0,1205.1875
0,102,math_dapo|22ed5c2f-0b12-493e-aca5-17ddf7e6bbd0,-1.0063629150390625,1748.5625
0,102,math_dapo|23be0ede-05dd-4d70-9da4-626375fa23a8,-1.0,1495.1875
0,102,math_dapo|2427f86a-4c06-454f-8723-21ca5cdc579e,-1.0,618.125
0,102,math_dapo|24d2f9c7-4cae-4749-a32f-9d388ee48ebf,-1.0,635.25
0,102,math_dapo|25a7a76b-3816-4fcd-8a4b-21d967be6813,-1.0,1130.125
0,102,math_dapo|25ded90c-52d3-447d-8f45-458d3406f8d7,-1.0,692.6875
0,102,math_dapo|26bd047c-bcc8-4947-a390-855f53068b0e,-1.0,633.625
0,102,math_dapo|297294d8-1c49-422b-a813-38bb1ae6e131,-1.0,641.75
0,102,math_dapo|29c62598-888d-44e2-9cb7-7f45a75955f1,-1.0,522.875
0,102,math_dapo|29ecdcb8-b992-47fe-a87f-3e7e996fd1bc,-1.0,711.5
0,102,math_dapo|2a079232-0f49-46b8-8c35-afe1fab107b7,-0.75,717.8125
0,102,math_dapo|2a139c08-9b33-4ab1-98cc-d169012075b3,-1.0,934.6875
0,102,math_dapo|2a2b1d63-c081-4f64-9312-8e49dd28a51f,-1.006561279296875,1347.75
0,102,math_dapo|2a8c3817-a582-44f1-a425-19e3dbb76aad,-1.0,692.6875
0,102,math_dapo|2aecf51d-fc7e-445c-b07b-fe7c36b87ab8,-1.0047454833984375,1449.3125
0,102,math_dapo|2aee1c55-fd36-488c-9a67-60c7c72157e1,-1.0,444.125
0,102,math_dapo|2b098de2-50bb-4dc1-8daf-513d06014f50,-1.0,1571.5625
0,102,math_dapo|2c00a696-672d-42b4-aaa2-7ed1afcf176e,-1.0,775.125
0,102,math_dapo|2c40e904-c161-4f86-b8bf-75ef6a35dbe7,-1.0,686.0625
0,102,math_dapo|2c5d98c6-91c7-4299-812f-68e00c15398f,-1.0,1226.875
0,102,math_dapo|2c7341a7-23b7-4515-b0f3-c592e02c8ebf,-1.0,1577.875
0,102,math_dapo|2c9b111d-e5b7-4a31-b149-e4ebaab70223,-0.875,652.4375
0,102,math_dapo|2d1fb267-7c29-4b3c-9e8c-7101d2a5d022,-1.0,920.875
0,102,math_dapo|2dd39737-264f-41c4-b751-70317f3b8d5d,-1.0,902.0625
0,102,math_dapo|2f07db29-c7ab-43f1-83f5-c8220d01f58b,-1.0,866.75
0,102,math_dapo|3023e156-b905-4570-bbcd-901c3c2efa72,-1.0,768.4375
0,102,math_dapo|30988089-dbab-4087-ab6f-77f004dda196,-1.0,906.125
0,102,math_dapo|30c72e8d-5c36-4fe1-a178-0db4281dd2ce,-1.0,936.1875
0,102,math_dapo|31254b11-4ecf-465f-9789-8b41cdc4cf7e,-1.0,1025.5625
0,102,math_dapo|313abec0-7a06-4cc6-bb88-d22ca454c8d1,-0.625,653.5625
0,102,math_dapo|3167d240-6c51-4e53-b077-2bd3ebf5b540,-1.0,1852.375
0,102,math_dapo|319c453b-6c20-46fa-86f3-b3ab332824a7,-1.0,731.0625
0,102,math_dapo|3286a45f-7487-46d7-a931-2cbea77bcebd,-1.0017547607421875,964.3125
0,102,math_dapo|329de20b-e515-40d0-807b-db5e4b4c4f66,-1.0,449.9375
0,102,math_dapo|33129b07-4e02-444f-a756-56aa323d692e,-1.0,794.125
0,102,math_dapo|335505db-3866-412c-9d68-f509a9b19ff9,-0.875,614.5
0,102,math_dapo|337fa3a0-dbc0-40f4-b236-c20c7b920fa6,-1.0,684.125
0,102,math_dapo|33b51622-b5e7-4a2c-96f0-2bdd22ed329e,-1.0,1117.75
0,102,math_dapo|33c6f1b5-1a16-4c52-936f-78af0193e5b1,-1.0,748.8125
0,102,math_dapo|344a8dcf-b116-458d-a6fc-8ba8558a38f5,-1.0,693.4375
0,102,math_dapo|3469c90e-f714-4bd8-b191-b9ef3b410494,-1.0,892.125
0,102,math_dapo|348ad607-e835-47b2-9a83-e4eff9173a3a,-1.0,918.0
0,102,math_dapo|349230a6-d9a6-4967-b14e-af84bfb097c1,-1.0,640.75
0,102,math_dapo|358ae9b1-0b16-4eb2-9b0c-9bfa01090ac1,-1.0,1301.25
0,102,math_dapo|35d2ad31-5469-4afe-a6b8-e9e87c6a947d,-1.0,465.5
0,102,math_dapo|35f34bb2-936a-4967-b858-d85a727fc298,-1.0,965.25
0,102,math_dapo|37035305-fe22-4247-b369-f8324674990f,-1.0,1055.0
0,102,math_dapo|37147360-1302-49b4-8a34-28383ec7e5b0,-1.0,1198.6875
0,102,math_dapo|395e35a3-1e60-4398-a753-a06e1cc134fa,-0.875,300.0
0,102,math_dapo|3a720792-4ecc-47a0-bfad-34bdaa2c0b40,-1.0,501.25
0,102,math_dapo|3b9574ce-f0f5-4ceb-8ecf-e1e80b112c4e,-1.0,1127.75
0,102,math_dapo|3bf92c9a-b619-48dd-8658-7a4fbd8367e1,-1.0,1133.75
0,102,math_dapo|3ca6ea87-73ad-4eaa-8074-eccd1ad76669,-1.0,703.0625
0,102,math_dapo|3caf7d59-2c4e-47ac-b65c-3435fb78af27,-1.0,1035.625
0,102,math_dapo|3dbd070b-585f-42d8-9642-01d44b3f27af,-1.0,659.75
0,102,math_dapo|3e3adbf0-efbf-47b6-b7fb-067827f4d7fc,-1.0,1118.0625
0,102,math_dapo|3e73a641-8844-494d-87d3-c159b1ae67e3,-1.0,746.1875
0,102,math_dapo|3e8d57ec-dc4a-49d1-b654-52a893896a49,-0.875,930.3125
0,102,math_dapo|400f8b70-c2ee-4b9e-b88e-0fad20df780d,-1.0,1803.3125
0,102,math_dapo|40180e53-fdc6-47fd-86f0-f0baa71085a8,-1.0,697.3125
0,102,math_dapo|41562573-1d15-4205-8275-09c428a27534,-1.0,1036.0
0,102,math_dapo|42f169d6-82aa-4c43-b63b-ce43a49a106b,-1.0,835.3125
0,102,math_dapo|42f72b2f-3661-462f-b695-1de1ca9cb0d7,-1.012481689453125,1519.0625
0,102,math_dapo|4316b1e9-f37d-48d0-aaad-917b4fd76f73,-0.875,814.8125
0,102,math_dapo|434f2876-b173-4828-b3c3-c20d3f1d53dc,-1.0,695.125
0,102,math_dapo|44425795-dc91-4680-b1d6-894d76fb3287,-1.0,500.1875
0,102,math_dapo|46669b86-4281-4271-ab14-987a94f62c1d,-1.0,721.9375
0,102,math_dapo|466cda06-f5ce-43a7-9dd5-52f73f18d2e7,-1.0,725.0
0,102,math_dapo|47113738-4cf8-4956-b017-f25bba54e57b,-1.0,647.8125
0,102,math_dapo|48952abc-6306-4ec5-ac78-5f5eebf7af86,-1.0,648.5625
0,102,math_dapo|48c43d7b-350f-495b-9564-209496a73657,-0.875,595.875
0,102,math_dapo|49a2acd7-58ce-450c-8db5-79c75e4f3a51,-1.0,1088.6875
0,102,math_dapo|49d8ded3-4260-4da6-bf5d-00a7dcfaad85,-0.875,706.0625
0,102,math_dapo|4b1e9283-aefd-4b6b-a918-bf9bc4c099bc,-1.0,487.1875
0,102,math_dapo|4be55225-5e7d-4cce-9778-2fb01c306d8e,-0.875,698.375
0,102,math_dapo|4bef90b9-e75d-47d0-b1f2-f86786535b97,-1.0,1004.25
0,102,math_dapo|4cb66c62-3689-46a2-bbaf-9ffe41a01451,-1.0,792.9375
0,102,math_dapo|4d780b6d-a8d3-4d01-87d3-c966d028618b,-1.0,1121.0625
0,102,math_dapo|4e899db2-6730-4ee5-a6a0-df52a3ecf74a,-1.0,608.0
0,102,math_dapo|4f3d5190-02dd-49f1-8712-1319d9a65001,-1.0,548.1875
0,102,math_dapo|4fb63809-2dc6-43c2-8bbc-0e5a9b241576,-1.0,1240.0
0,102,math_dapo|501ddeee-9873-45c3-8d12-748d00b311af,-1.0,772.6875
0,102,math_dapo|502b48b2-66f2-4170-a0a4-e2279998021e,-1.0,685.75
0,102,math_dapo|50659edd-5963-473c-8a61-28ca65b6135c,-0.875,631.25
0,102,math_dapo|522de39d-4342-41f0-b8e7-78804a0f07af,-1.0,557.875
0,102,math_dapo|52e024b5-c5cb-42dd-8370-f6f38596d120,-1.0,1282.0625
0,102,math_dapo|52e73fcc-a4bf-4aff-b1a7-7c6509e06a91,-1.0,322.25
0,102,math_dapo|5314974f-eea5-4db7-8985-3d6922eb3ac3,-1.0,727.3125
0,102,math_dapo|53d27997-6bd8-415b-b28f-08e344763ee6,-1.0,740.4375
