epoch,step,key,occurrence,reward,response_length
0,101,math_dapo|42f169d6-82aa-4c43-b63b-ce43a49a106b,0,-1.0,236.0
0,101,math_dapo|e324b982-96d8-44af-8fa9-499f63c36b44,0,-1.0,379.0
0,101,math_dapo|1af100d9-9f82-4b59-9ef1-4a536f00f031,0,-1.0,2427.0
0,101,math_dapo|1af100d9-9f82-4b59-9ef1-4a536f00f031,1,-1.0,363.0
0,101,math_dapo|c0cf3621-9055-49f4-b9cb-b0d3cf732f4e,0,-1.0,835.0
0,101,math_dapo|2c00a696-672d-42b4-aaa2-7ed1afcf176e,0,-1.0,559.0
0,101,math_dapo|2c00a696-672d-42b4-aaa2-7ed1afcf176e,1,-1.0,783.0
0,101,math_dapo|5418a18f-ecef-4826-9fa1-bd3052bfb5aa,0,-1.0,781.0
0,101,math_dapo|a51c8897-4751-4629-8246-303cada01dee,0,-1.0,374.0
0,101,math_dapo|a51c8897-4751-4629-8246-303cada01dee,1,-1.0,136.0
0,101,math_dapo|20e65dcc-f760-4620-9f0a-b18682afbdce,0,-1.0,1167.0
0,101,math_dapo|2b098de2-50bb-4dc1-8daf-513d06014f50,0,-1.0,1873.0
0,101,math_dapo|2b098de2-50bb-4dc1-8daf-513d06014f50,1,-1.0,883.0
0,101,math_dapo|cb5bd29d-1f52-43b6-8948-ada15b3095d8,0,-1.0,951.0
0,101,math_dapo|c892569f-0f72-46f0-8a1e-2e882f916870,0,-1.0,959.0
0,101,math_dapo|a77563ed-0d86-4b67-8c8f-3ea8861258ed,0,-1.0,543.0
0,101,math_dapo|97ad7e51-c6fb-44a5-9ebd-c8a193a48c57,0,-1.0,1063.0
0,101,math_dapo|d603ebab-bc22-428d-986f-deb090f7021e,0,-1.0,91.0
0,101,math_dapo|84716a12-fea6-4397-a311-eb2f624581a8,0,-1.0,1972.0
0,101,math_dapo|09e1155b-71c4-4741-959d-de639385fdb2,0,-1.0,14.0
0,101,math_dapo|e8e8b7f0-f886-4116-a3e7-0acfb2e04978,0,-1.0,1147.0
0,101,math_dapo|c6e6ab0a-7325-40d2-b626-97a7ef69a8f7,0,-1.0,552.0
0,101,math_dapo|ff0d02b0-d2d7-4206-96da-5fe68a3ee380,0,-1.0,2709.0
0,101,math_dapo|9ca33899-df9b-49f6-8b58-d59ed193657f,0,-1.0,1708.0
0,101,math_dapo|a22f0ede-3ef2-4401-acc9-8eadaf4fa500,0,-1.0,310.0
0,101,math_dapo|a22f0ede-3ef2-4401-acc9-8eadaf4fa500,1,-1.0,629.0
0,101,math_dapo|e5467867-7c40-4002-8cb6-edcbb12dbe93,0,-1.0,930.0
0,101,math_dapo|e5467867-7c40-4002-8cb6-edcbb12dbe93,1,-1.0,763.0
0,101,math_dapo|30988089-dbab-4087-ab6f-77f004dda196,0,-1.0,1817.0
0,101,math_dapo|8298f4ae-d0c2-4a51-b7bc-76f1ef16dd7b,0,-1.0,770.0
0,101,math_dapo|e43a592c-29cb-472c-92a6-f664a4f4b154,0,-1.0,964.0
0,101,math_dapo|b179dd73-a240-43aa-bfb8-52ac5f8cf842,0,-1.0,37.0
0,101,math_dapo|d40a69ac-c803-484e-9ea6-c511a3f79194,0,-1.0,398.0
0,101,math_dapo|fc4cc1e9-1f80-4a84-9574-cbd98171060b,0,-1.0,154.0
0,101,math_dapo|7e4cf208-62fd-44fd-a73a-c95e6c6853ad,0,-1.0,899.0
0,101,math_dapo|c0fd39a9-58a3-4d9a-8f45-20ae6ea92546,0,-1.0,466.0
0,101,math_dapo|9f8bf9ee-389f-486e-be1c-c888310bc02a,0,-1.0,1520.0
0,101,math_dapo|9f8bf9ee-389f-486e-be1c-c888310bc02a,1,-1.0,1147.0
0,101,math_dapo|cd8e369d-0e76-46de-b37e-1c7e0b7c28df,0,-1.0,173.0
0,101,math_dapo|bd11dc0e-bfa6-4150-aba4-a567f92862c1,0,-1.0,408.0
0,101,math_dapo|33129b07-4e02-444f-a756-56aa323d692e,0,-1.0,760.0
0,101,math_dapo|eda407a3-8248-4ac6-889f-e2d8c664c7c7,0,-1.0,390.0
0,101,math_dapo|110f5d32-25d6-4c4f-9d16-8d9759365c61,0,-1.0,212.0
0,101,math_dapo|37147360-1302-49b4-8a34-28383ec7e5b0,0,-1.0,1369.0
0,101,math_dapo|f1317461-76c4-49cb-9f29-b01c3edef708,0,-1.0,1410.0
0,101,math_dapo|7bddb398-8766-4b2e-9946-02a1e471ac61,0,-1.0,750.0
0,101,math_dapo|7bddb398-8766-4b2e-9946-02a1e471ac61,1,-1.0,660.0
0,101,math_dapo|2a139c08-9b33-4ab1-98cc-d169012075b3,0,-1.0,305.0
0,101,math_dapo|2a139c08-9b33-4ab1-98cc-d169012075b3,1,-1.0,1383.0
0,101,math_dapo|e43691ab-0f13-4f0a-843f-b1ccb1b757b9,0,-1.0,2228.0
0,101,math_dapo|85ddb651-0234-4d73-b8e6-22ab9e04dbb6,0,-1.0,1126.0
0,101,math_dapo|a43b61ce-144a-4549-ac5c-c55c667dd054,0,-1.0,526.0
0,101,math_dapo|a43b61ce-144a-4549-ac5c-c55c667dd054,1,-1.0,450.0
0,101,math_dapo|7f512713-1a5b-4f99-a93b-285324905510,0,-1.01123046875,4142.0
0,101,math_dapo|25a7a76b-3816-4fcd-8a4b-21d967be6813,0,-1.0,719.0
